paper,full_paper_name,year_published,journal,authors,doi,abstract,arxiv_url,pdf_url,primary_category,pdf_path,dataset_name,dataset_type,official_path,events_total (from text),events_used (from text),collision_energy_tev,generator,size_bytes,luminosity,shortened_paper_name,notes,lumininity,events_total_num,events_used_num,collision_energy_tev_num,luminosity_pb,dataset_key,fraction_used,has_official_path,quality_flags
2409.13663,Measurement of the Higgs boson mass and width using the four-lepton final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV,2024,Phys. Rev. D 111 (2025) 092014,CMS Collaboration,10.1103/PhysRevD.111.092014,"A measurement of the Higgs boson mass and width via its decay to two Z bosons is presented. Proton-proton collision data collected by the CMS experiment, corresponding to an integrated luminosity of 138 fb$^{-1}$ at a center-of-mass energy of 13 TeV is used. The invariant mass distribution of four leptons in the on-shell Higgs boson decay is used to measure its mass and constrain its width. This yields the most precise single measurement of the Higgs boson mass to date, 125.04 $\pm$ 0.12 GeV, and an upper limit on the width $Γ_\mathrm{H}$ $\lt$ 330 MeV at 95% confidence level. A combination of the on- and off-shell Higgs boson production decaying to four leptons is used to determine the Higgs boson width, assuming that no new virtual particles affect the production, a premise that is tested by adding new heavy particles in the gluon fusion loop model. This result is combined with a previous CMS analysis of the off-shell Higgs boson production with decay to two leptons and two neutrinos, giving a measured Higgs boson width of 3.0 $^{+2.0}_{-1.5}$ MeV, in agreement with the standard model prediction of 4.1 MeV. The strength of the off-shell Higgs boson production is also reported. The scenario of no off-shell Higgs boson production is excluded at a confidence level corresponding to 3.8 standard deviations.",http://arxiv.org/abs/2409.13663,https://arxiv.org/pdf/2409.13663v2,hep-ex,pdfs/2409.13663.pdf,CMS proton-proton collision data 2016-2018,data,,,,13.0,,,138/fb,CMS Higgs Mass Width Measurement,"2016: 36.3/fb, 2017: 41.5/fb, 2018: 59.8/fb; H→4ℓ decay channel; events selected with single and multi-lepton triggers; trigger efficiency >99%",,,,13.0,138000.0,cms_proton_proton_collision_data_2016_2018,,True,
2409.13663,Measurement of the Higgs boson mass and width using the four-lepton final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV,2024,Phys. Rev. D 111 (2025) 092014,CMS Collaboration,10.1103/PhysRevD.111.092014,"A measurement of the Higgs boson mass and width via its decay to two Z bosons is presented. Proton-proton collision data collected by the CMS experiment, corresponding to an integrated luminosity of 138 fb$^{-1}$ at a center-of-mass energy of 13 TeV is used. The invariant mass distribution of four leptons in the on-shell Higgs boson decay is used to measure its mass and constrain its width. This yields the most precise single measurement of the Higgs boson mass to date, 125.04 $\pm$ 0.12 GeV, and an upper limit on the width $Γ_\mathrm{H}$ $\lt$ 330 MeV at 95% confidence level. A combination of the on- and off-shell Higgs boson production decaying to four leptons is used to determine the Higgs boson width, assuming that no new virtual particles affect the production, a premise that is tested by adding new heavy particles in the gluon fusion loop model. This result is combined with a previous CMS analysis of the off-shell Higgs boson production with decay to two leptons and two neutrinos, giving a measured Higgs boson width of 3.0 $^{+2.0}_{-1.5}$ MeV, in agreement with the standard model prediction of 4.1 MeV. The strength of the off-shell Higgs boson production is also reported. The scenario of no off-shell Higgs boson production is excluded at a confidence level corresponding to 3.8 standard deviations.",http://arxiv.org/abs/2409.13663,https://arxiv.org/pdf/2409.13663v2,hep-ex,pdfs/2409.13663.pdf,POWHEG 2.0 ggH Higgs production simulation,mc,,,,13.0,POWHEG 2.0,,,CMS Higgs Mass Width Measurement,"On-shell Higgs production via gluon fusion at NLO QCD; interfaced with PYTHIA 8.320; CUETP8M1 tune for 2016, CP5 tune for 2017-2018; NNPDF3.1 PDFs",,,,13.0,,powheg_20_ggh_higgs_production_simulation,,True,
2409.13663,Measurement of the Higgs boson mass and width using the four-lepton final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV,2024,Phys. Rev. D 111 (2025) 092014,CMS Collaboration,10.1103/PhysRevD.111.092014,"A measurement of the Higgs boson mass and width via its decay to two Z bosons is presented. Proton-proton collision data collected by the CMS experiment, corresponding to an integrated luminosity of 138 fb$^{-1}$ at a center-of-mass energy of 13 TeV is used. The invariant mass distribution of four leptons in the on-shell Higgs boson decay is used to measure its mass and constrain its width. This yields the most precise single measurement of the Higgs boson mass to date, 125.04 $\pm$ 0.12 GeV, and an upper limit on the width $Γ_\mathrm{H}$ $\lt$ 330 MeV at 95% confidence level. A combination of the on- and off-shell Higgs boson production decaying to four leptons is used to determine the Higgs boson width, assuming that no new virtual particles affect the production, a premise that is tested by adding new heavy particles in the gluon fusion loop model. This result is combined with a previous CMS analysis of the off-shell Higgs boson production with decay to two leptons and two neutrinos, giving a measured Higgs boson width of 3.0 $^{+2.0}_{-1.5}$ MeV, in agreement with the standard model prediction of 4.1 MeV. The strength of the off-shell Higgs boson production is also reported. The scenario of no off-shell Higgs boson production is excluded at a confidence level corresponding to 3.8 standard deviations.",http://arxiv.org/abs/2409.13663,https://arxiv.org/pdf/2409.13663v2,hep-ex,pdfs/2409.13663.pdf,JHUGEN 7.3.0 Higgs production simulation,mc,,,,13.0,JHUGEN 7.3.0,,,CMS Higgs Mass Width Measurement,"VBF, VH, ttH, bbH, tqH production at LO QCD; both on-shell and off-shell production with interference effects; interfaced with PYTHIA 8.320",,,,13.0,,jhugen_730_higgs_production_simulation,,True,
2409.13663,Measurement of the Higgs boson mass and width using the four-lepton final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV,2024,Phys. Rev. D 111 (2025) 092014,CMS Collaboration,10.1103/PhysRevD.111.092014,"A measurement of the Higgs boson mass and width via its decay to two Z bosons is presented. Proton-proton collision data collected by the CMS experiment, corresponding to an integrated luminosity of 138 fb$^{-1}$ at a center-of-mass energy of 13 TeV is used. The invariant mass distribution of four leptons in the on-shell Higgs boson decay is used to measure its mass and constrain its width. This yields the most precise single measurement of the Higgs boson mass to date, 125.04 $\pm$ 0.12 GeV, and an upper limit on the width $Γ_\mathrm{H}$ $\lt$ 330 MeV at 95% confidence level. A combination of the on- and off-shell Higgs boson production decaying to four leptons is used to determine the Higgs boson width, assuming that no new virtual particles affect the production, a premise that is tested by adding new heavy particles in the gluon fusion loop model. This result is combined with a previous CMS analysis of the off-shell Higgs boson production with decay to two leptons and two neutrinos, giving a measured Higgs boson width of 3.0 $^{+2.0}_{-1.5}$ MeV, in agreement with the standard model prediction of 4.1 MeV. The strength of the off-shell Higgs boson production is also reported. The scenario of no off-shell Higgs boson production is excluded at a confidence level corresponding to 3.8 standard deviations.",http://arxiv.org/abs/2409.13663,https://arxiv.org/pdf/2409.13663v2,hep-ex,pdfs/2409.13663.pdf,MCFM 7.0.1 off-shell Higgs simulation,mc,,,,13.0,MCFM 7.0.1,,,CMS Higgs Mass Width Measurement,Off-shell gg→4ℓ and EW production including interference; integrated into JHUGEN framework; LO QCD with K-factor corrections applied,,,,13.0,,mcfm_701_off_shell_higgs_simulation,,True,
2409.13663,Measurement of the Higgs boson mass and width using the four-lepton final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV,2024,Phys. Rev. D 111 (2025) 092014,CMS Collaboration,10.1103/PhysRevD.111.092014,"A measurement of the Higgs boson mass and width via its decay to two Z bosons is presented. Proton-proton collision data collected by the CMS experiment, corresponding to an integrated luminosity of 138 fb$^{-1}$ at a center-of-mass energy of 13 TeV is used. The invariant mass distribution of four leptons in the on-shell Higgs boson decay is used to measure its mass and constrain its width. This yields the most precise single measurement of the Higgs boson mass to date, 125.04 $\pm$ 0.12 GeV, and an upper limit on the width $Γ_\mathrm{H}$ $\lt$ 330 MeV at 95% confidence level. A combination of the on- and off-shell Higgs boson production decaying to four leptons is used to determine the Higgs boson width, assuming that no new virtual particles affect the production, a premise that is tested by adding new heavy particles in the gluon fusion loop model. This result is combined with a previous CMS analysis of the off-shell Higgs boson production with decay to two leptons and two neutrinos, giving a measured Higgs boson width of 3.0 $^{+2.0}_{-1.5}$ MeV, in agreement with the standard model prediction of 4.1 MeV. The strength of the off-shell Higgs boson production is also reported. The scenario of no off-shell Higgs boson production is excluded at a confidence level corresponding to 3.8 standard deviations.",http://arxiv.org/abs/2409.13663,https://arxiv.org/pdf/2409.13663v2,hep-ex,pdfs/2409.13663.pdf,POWHEG qq→ZZ background simulation,mc,,,,13.0,POWHEG,,,CMS Higgs Mass Width Measurement,qq→ZZ/Zγ*/γ*γ*→4ℓ background at NLO QCD and LO EW; NNLO K-factors applied; interfaced with PYTHIA 8.320,,,,13.0,,powheg_qqzz_background_simulation,,True,
2409.13663,Measurement of the Higgs boson mass and width using the four-lepton final state in proton-proton collisions at $\sqrt{s}$ = 13 TeV,2024,Phys. Rev. D 111 (2025) 092014,CMS Collaboration,10.1103/PhysRevD.111.092014,"A measurement of the Higgs boson mass and width via its decay to two Z bosons is presented. Proton-proton collision data collected by the CMS experiment, corresponding to an integrated luminosity of 138 fb$^{-1}$ at a center-of-mass energy of 13 TeV is used. The invariant mass distribution of four leptons in the on-shell Higgs boson decay is used to measure its mass and constrain its width. This yields the most precise single measurement of the Higgs boson mass to date, 125.04 $\pm$ 0.12 GeV, and an upper limit on the width $Γ_\mathrm{H}$ $\lt$ 330 MeV at 95% confidence level. A combination of the on- and off-shell Higgs boson production decaying to four leptons is used to determine the Higgs boson width, assuming that no new virtual particles affect the production, a premise that is tested by adding new heavy particles in the gluon fusion loop model. This result is combined with a previous CMS analysis of the off-shell Higgs boson production with decay to two leptons and two neutrinos, giving a measured Higgs boson width of 3.0 $^{+2.0}_{-1.5}$ MeV, in agreement with the standard model prediction of 4.1 MeV. The strength of the off-shell Higgs boson production is also reported. The scenario of no off-shell Higgs boson production is excluded at a confidence level corresponding to 3.8 standard deviations.",http://arxiv.org/abs/2409.13663,https://arxiv.org/pdf/2409.13663v2,hep-ex,pdfs/2409.13663.pdf,MADGRAPH5_aMC@NLO EW background simulation,mc,,,,13.0,MadGraph5_aMC@NLO,,,CMS Higgs Mass Width Measurement,"VVV, ttVV, ttV processes for on-shell EW background; interfaced with PYTHIA 8.320; GEANT4 detector simulation applied",,,,13.0,,madgraph5_amcnlo_ew_background_simulation,,True,
2502.05665,Search for $γ$H production and constraints on the Yukawa couplings of light quarks to the Higgs boson,2025,Phys. Rev. D 112 (2025) 112001,CMS Collaboration,10.1103/6s8n-pvmy,"A search for $γ$H production is performed with data from the CMS experiment at the LHC corresponding to an integrated luminosity of 138 fb$^{-1}$ at a proton-proton center-of-mass collision energy of 13 TeV. The analysis focuses on the topology of a boosted Higgs boson recoiling against a high-energy photon. The final states of H $\to$ $\mathrm{b\bar{b}}$ and H $\to$ 4$\ell$ are analyzed. This study examines effective HZ$γ$ and H$γγ$ anomalous couplings within the context of an effective field theory. In this approach, the production cross section is constrained to be $σ_{γ\text{H}}$ $\lt$ 16.4 fb at 95% confidence level (CL). Simultaneous constraints on four anomalous couplings involving HZ$γ$ and H$γγ$ are provided. Additionally, the production rate for H $\to$ 4$\ell$ is examined to assess potential enhancements in the Yukawa couplings between light quarks and the Higgs boson. Assuming the standard model values for the Yukawa couplings of the bottom and top quarks, the following simultaneous constraints are obtained: $κ_\text{u}$ = (0.0 $\pm$ 1.5) $\times$ 10$^{3}$, $κ_\text{d}$ = (0.0 $^{+6.7}_{-6.8}$) $\times$ 10$^{2}$, $κ_\text{s}$ = 0 $^{+30}_{-32}$, and $κ_\text{c}$ = 0.0 $^{+2.3}_{-2.8}$. This rules out the hypothesis that up- or down-type quarks in the first or second generation have the same Yukawa couplings as those in the third generation, with a CL greater than 95%.",http://arxiv.org/abs/2502.05665,https://arxiv.org/pdf/2502.05665v2,hep-ex,pdfs/2502.05665.pdf,CMS data 2016-2018,data,,,,13.0,,,138/fb,γH Production Yukawa Couplings Search,"Real collision data recorded between 2016 and 2018; used for both H→4ℓ and H→bb analyses; multiple triggers used including photon, lepton, and jet triggers",,,,13.0,138000.0,cms_data_2016_2018,,True,
2502.05665,Search for $γ$H production and constraints on the Yukawa couplings of light quarks to the Higgs boson,2025,Phys. Rev. D 112 (2025) 112001,CMS Collaboration,10.1103/6s8n-pvmy,"A search for $γ$H production is performed with data from the CMS experiment at the LHC corresponding to an integrated luminosity of 138 fb$^{-1}$ at a proton-proton center-of-mass collision energy of 13 TeV. The analysis focuses on the topology of a boosted Higgs boson recoiling against a high-energy photon. The final states of H $\to$ $\mathrm{b\bar{b}}$ and H $\to$ 4$\ell$ are analyzed. This study examines effective HZ$γ$ and H$γγ$ anomalous couplings within the context of an effective field theory. In this approach, the production cross section is constrained to be $σ_{γ\text{H}}$ $\lt$ 16.4 fb at 95% confidence level (CL). Simultaneous constraints on four anomalous couplings involving HZ$γ$ and H$γγ$ are provided. Additionally, the production rate for H $\to$ 4$\ell$ is examined to assess potential enhancements in the Yukawa couplings between light quarks and the Higgs boson. Assuming the standard model values for the Yukawa couplings of the bottom and top quarks, the following simultaneous constraints are obtained: $κ_\text{u}$ = (0.0 $\pm$ 1.5) $\times$ 10$^{3}$, $κ_\text{d}$ = (0.0 $^{+6.7}_{-6.8}$) $\times$ 10$^{2}$, $κ_\text{s}$ = 0 $^{+30}_{-32}$, and $κ_\text{c}$ = 0.0 $^{+2.3}_{-2.8}$. This rules out the hypothesis that up- or down-type quarks in the first or second generation have the same Yukawa couplings as those in the third generation, with a CL greater than 95%.",http://arxiv.org/abs/2502.05665,https://arxiv.org/pdf/2502.05665v2,hep-ex,pdfs/2502.05665.pdf,γH production simulation,mc,,,,13.0,JHUGen 7.5.2,,,γH Production Yukawa Couplings Search,"Leading order simulation for γH production; generated for various values of cγγ, czγ, c̃γγ, c̃zγ couplings; reweighted to any hypothesis of interest; interfaced with PYTHIA 8.230",,,,13.0,,γh_production_simulation,,True,
2502.05665,Search for $γ$H production and constraints on the Yukawa couplings of light quarks to the Higgs boson,2025,Phys. Rev. D 112 (2025) 112001,CMS Collaboration,10.1103/6s8n-pvmy,"A search for $γ$H production is performed with data from the CMS experiment at the LHC corresponding to an integrated luminosity of 138 fb$^{-1}$ at a proton-proton center-of-mass collision energy of 13 TeV. The analysis focuses on the topology of a boosted Higgs boson recoiling against a high-energy photon. The final states of H $\to$ $\mathrm{b\bar{b}}$ and H $\to$ 4$\ell$ are analyzed. This study examines effective HZ$γ$ and H$γγ$ anomalous couplings within the context of an effective field theory. In this approach, the production cross section is constrained to be $σ_{γ\text{H}}$ $\lt$ 16.4 fb at 95% confidence level (CL). Simultaneous constraints on four anomalous couplings involving HZ$γ$ and H$γγ$ are provided. Additionally, the production rate for H $\to$ 4$\ell$ is examined to assess potential enhancements in the Yukawa couplings between light quarks and the Higgs boson. Assuming the standard model values for the Yukawa couplings of the bottom and top quarks, the following simultaneous constraints are obtained: $κ_\text{u}$ = (0.0 $\pm$ 1.5) $\times$ 10$^{3}$, $κ_\text{d}$ = (0.0 $^{+6.7}_{-6.8}$) $\times$ 10$^{2}$, $κ_\text{s}$ = 0 $^{+30}_{-32}$, and $κ_\text{c}$ = 0.0 $^{+2.3}_{-2.8}$. This rules out the hypothesis that up- or down-type quarks in the first or second generation have the same Yukawa couplings as those in the third generation, with a CL greater than 95%.",http://arxiv.org/abs/2502.05665,https://arxiv.org/pdf/2502.05665v2,hep-ex,pdfs/2502.05665.pdf,SM Higgs production simulation,mc,,,,13.0,POWHEG v2,,,γH Production Yukawa Couplings Search,"NLO QCD simulation for gluon fusion, VBF, ZH, WH, ttH processes; LO for bbH and single top via JHUGen; H→4ℓ decay simulated with JHUGen; H→bb decay with PYTHIA; interfaced with PYTHIA 8.230",,,,13.0,,sm_higgs_production_simulation,,True,
2502.05665,Search for $γ$H production and constraints on the Yukawa couplings of light quarks to the Higgs boson,2025,Phys. Rev. D 112 (2025) 112001,CMS Collaboration,10.1103/6s8n-pvmy,"A search for $γ$H production is performed with data from the CMS experiment at the LHC corresponding to an integrated luminosity of 138 fb$^{-1}$ at a proton-proton center-of-mass collision energy of 13 TeV. The analysis focuses on the topology of a boosted Higgs boson recoiling against a high-energy photon. The final states of H $\to$ $\mathrm{b\bar{b}}$ and H $\to$ 4$\ell$ are analyzed. This study examines effective HZ$γ$ and H$γγ$ anomalous couplings within the context of an effective field theory. In this approach, the production cross section is constrained to be $σ_{γ\text{H}}$ $\lt$ 16.4 fb at 95% confidence level (CL). Simultaneous constraints on four anomalous couplings involving HZ$γ$ and H$γγ$ are provided. Additionally, the production rate for H $\to$ 4$\ell$ is examined to assess potential enhancements in the Yukawa couplings between light quarks and the Higgs boson. Assuming the standard model values for the Yukawa couplings of the bottom and top quarks, the following simultaneous constraints are obtained: $κ_\text{u}$ = (0.0 $\pm$ 1.5) $\times$ 10$^{3}$, $κ_\text{d}$ = (0.0 $^{+6.7}_{-6.8}$) $\times$ 10$^{2}$, $κ_\text{s}$ = 0 $^{+30}_{-32}$, and $κ_\text{c}$ = 0.0 $^{+2.3}_{-2.8}$. This rules out the hypothesis that up- or down-type quarks in the first or second generation have the same Yukawa couplings as those in the third generation, with a CL greater than 95%.",http://arxiv.org/abs/2502.05665,https://arxiv.org/pdf/2502.05665v2,hep-ex,pdfs/2502.05665.pdf,QCD multijet background simulation,mc,,,,13.0,MadGraph5_aMC@NLO v2.4.2,,,γH Production Yukawa Couplings Search,"LO simulation for QCD multijet, W+jets, Z+jets backgrounds in bb channel; interfaced with PYTHIA 8.230",,,,13.0,,qcd_multijet_background_simulation,,True,
