"paper","dataset_name","dataset_type","official_path","events_total","events_used","collision_energy_tev","generator","doi","size_bytes","notes"
"heavy_dimuon_resonance","SingleMu Run2012B","Real Data","/SingleMu/Run2012B-22Jan2013-v1/AOD","","","8","N/A (Real Data)","","","Run-B 2012, part of 11.6 fb-1 total luminosity, HLT_Mu40_eta2p1 trigger"
"heavy_dimuon_resonance","SingleMu Run2012C","Real Data","/SingleMu/Run2012C-22Jan2013-v1/AOD","","","8","N/A (Real Data)","","","Run-C 2012, part of 11.6 fb-1 total luminosity, HLT_Mu40_eta2p1 trigger"
"heavy_dimuon_resonance","DYToMuMu M-20","Simulated MC","/DYToMuMu_M-20_CT10_TuneZ2star_v2_8TeV-powheg-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM","","","8","POWHEG+PYTHIA6","","","Drell-Yan to dimuon, σ×BR = 1916 pb, NNLO, CT10 PDF, Z2* tune"
"heavy_dimuon_resonance","TTJets FullLeptMGDecays","Simulated MC","/TTJets_FullLeptMGDecays_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v2/AODSIM","","","8","MadGraph+PYTHIA6","","","Top quark pairs, σ×BR = 23.89 pb, NLO, fully leptonic decays"
"heavy_dimuon_resonance","WWJetsTo2L2Nu","Simulated MC","/WWJetsTo2L2Nu_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM","","","8","MadGraph+PYTHIA6","","","WW diboson production, σ×BR = 5.8 pb, NLO, Z2* tune"
"heavy_dimuon_resonance","WZJetsTo3LNu","Simulated MC","/WZJetsTo3LNu_TuneZ2_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM","","","8","MadGraph+PYTHIA6","","","WZ diboson production, σ×BR = 1.1 pb, NNLO, Z2* tune"
"heavy_dimuon_resonance","ZZTo4mu","Simulated MC","/ZZTo4mu_8TeV-powheg-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM","","","8","POWHEG+PYTHIA6","","","ZZ to 4 muons, σ×BR = 0.077 pb, NLO"
"heavy_dimuon_resonance","Mono-Z' Dark Higgs Signal","Simulated MC","","","","8","MadGraph5_aMC@NLO+PYTHIA6","","","Dark matter signal samples, Z' masses 150-700 GeV, DM masses 1-200 GeV, gSM=0.25, gDM=1.0, NLO, NNPDF2.3QED, GEANT4 detector simulation"
"heavy_dimuon_resonance","Mono-Z' EFT Signal","Simulated MC","","","","8","MadGraph5_aMC@NLO+PYTHIA6","","","Effective Field Theory signal samples, MZ'=450 GeV, cutoff scales 1.0-5.0 TeV, NLO, NNPDF2.3QED, GEANT4 detector simulation"
"jet_classification","QCD dijet production dataset","Simulated MC","/QCDdijet/Run2012-pT90-170GeV/AOD","null","793900","8","Pythia6 with Z2* tune","10.7483/OPENDATA.CMS.B2G-12-003","null","2012 CMS Open Data, generated pT 90-170 GeV, Geant4 simulation, run-dependent pileup PU=18-21, balanced quark/gluon samples across Run2012AB/C/D"
"traverse_momentum","DoubleMu primary dataset from CMS Run 2011A","Real Data","/DoubleMu/Run2011A-12Oct2013-v1/AOD","6241576","561364","7","N/A (Real Data)","10.7483/OPENDATA.CMS.RZ34.QR6N","","Run 2011A, 2.11 fb-1, HLT_Mu13_Mu8 trigger"
"traverse_momentum","ZMC (Z-pole Monte Carlo sample)","Simulated MC","/DYJetsToLL_TuneZ2_M-50_7TeV-madgraph-tauola/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","","","7","MadGraph 5 v1.1.0 interfaced with Pythia 6.4.25, tune Z2, TAUOLA 2.4","10.7483/OPENDATA.CMS.TXT4.4RRP","","Used for m_μμ > 50 GeV validation, GEANT4-based detector simulation"
"traverse_momentum","DYMC (Drell-Yan Monte Carlo sample)","Simulated MC","/DYJetsToLL_M-10To50_TuneZ2_7TeV-pythia6/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","","","7","Pythia 6 with tune Z2","10.7483/OPENDATA.CMS.T8RZ.D52D","","Used for m_μμ ∈ [10,50] GeV validation, lacks parton shower/matrix element matching"
"traverse_momentum","DY1JetToLL Monte Carlo sample","Simulated MC","/DY1JetToLL_M-10To50_TuneZ2_7TeV-madgraph/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","","","7","MadGraph","10.7483/OPENDATA.CMS.U6JT.SMMC","","DY plus 1 jet exclusive sample"
"traverse_momentum","DY2Jets Monte Carlo sample","Simulated MC","/DY2Jets_M-10To50_TuneZ2_7TeV-madgraph/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","","","7","MadGraph","10.7483/OPENDATA.CMS.4G5S.44WQ","","DY plus 2 jets exclusive sample"
"traverse_momentum","DY3Jets Monte Carlo sample","Simulated MC","/DY3Jets_M-10To50_TuneZ2_7TeV-madgraph/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","","","7","MadGraph","10.7483/OPENDATA.CMS.D5KD.U5MR","","DY plus 3 jets exclusive sample"
"traverse_momentum","DY4Jets Monte Carlo sample","Simulated MC","/DY4Jets_M-10To50_TuneZ2_7TeV-madgraph/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","","","7","MadGraph","10.7483/OPENDATA.CMS.UUG7.4NHT","","DY plus 4 jets exclusive sample"
"Unisolated_Upsilons","DoubleMu Primary Dataset","Real Data","/DoubleMuon/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD","null","null","13","N/A (Real Data)","10.7483/OPENDATA.CMS.UZD7.Z50M","null","8.7 fb-1, 2016 data, anti-isolated Upsilon analysis"
"beamdump","CMS Open Data 2012 Dimuon","Real Data","AOD format","null","null","8","N/A (Real Data)","null","null","2012 CMS dimuon sample, 50% of total 20.6 fb-1 integrated luminosity made public, used for time-dependent analysis with event timestamps"
"heavy_dimuon_resonance","SingleMu Run2012B","Real Data","/SingleMu/Run2012B-22Jan2013-v1/AOD","","4","8","N/A (Real Data)","10.7483/OPENDATA.CMS.C00V.SE32","","Run 2012B, part of 11.6 fb-1 total luminosity, HLT_Mu40_eta2p1 trigger"
"heavy_dimuon_resonance","SingleMu Run2012C","Real Data","/SingleMu/Run2012C-22Jan2013-v1/AOD","","4","8","N/A (Real Data)","10.7483/OPENDATA.CMS.C00V.SE32","","Run 2012C, part of 11.6 fb-1 total luminosity, HLT_Mu40_eta2p1 trigger"
