"paper","dataset_name","dataset_type","official_path","events_total","events_used","collision_energy_tev","generator","doi","size_bytes","notes"
"beamdump","CMS Open Data 2012 Dimuon Events","Real Data","AOD format","null","null","8","N/A (Real Data)","null","null","CMS dimuon sample in AOD format, collected in 2012 at sqrt(s)=8 TeV. Integrated luminosity of 20.6 fb^-1, but only 50% provided to public as CMS Open Data. Minimal cuts applied: p_T^mu > 15 GeV, |eta| < 2.4. Contains event-by-event time stamps and instant luminosity information."
"beamdump","BaBar Dilepton Data","Real Data","null","null","null","0.01","N/A (Real Data)","null","null","514 fb^-1 data collected at vicinity of Upsilon(4S), Upsilon(3S) and Upsilon(2S) resonances, sqrt(s)≈10 GeV. Search for e+e- → γA' process with A' → e+e- and μ+μ- decay channels. Mass range 0.02-10.2 GeV. N_e=5704 and N_μ=5370 mass hypotheses searched."
"beamdump","LHCb Dimuon Data","Real Data","null","null","null","13","N/A (Real Data)","null","null","~5 fb^-1 data at sqrt(s)=13 TeV, pp→A' process, dimuon spectrum with resolution [0.12, 380] MeV, mass range [0.214, 69.8] GeV, fit window m_A'±12.5σ_re"
"beamdump","A1 Electron Data","Real Data","null","null","null","<UNKNOWN>","N/A (Real Data)","null","null","e-Z→e-ZA' process, electron energy E_e ∈ [0.180,0.855] GeV, dielectron spectrum with 0.5 MeV resolution, mass range [0.040, 0.300] GeV, fit window m_A'±3σ_re"
"beamdump","NA48/2 Pi0 Data","Real Data","null","1.69e7","1.69e7","<UNKNOWN>","N/A (Real Data)","null","null","1.69×10^7 π0→γe+e- events, π0→γA' process, dielectron spectrum with resolution [0.16, 1.33] MeV, mass range [0.009, 0.120] GeV, single bin analysis"
"beamdump","E774 Beam Dump Data","Real Data","null","null","null","<UNKNOWN>","N/A (Real Data)","null","null","Electron fixed-target beam dump experiment, A' production via e-Z→e-ZA', upper limit of 17 signal events for A'→ℓ+ℓ- decay"
"beamdump","E141 Beam Dump Data","Real Data","null","null","null","<UNKNOWN>","N/A (Real Data)","null","null","Electron fixed-target beam dump experiment, searches for A'→ℓ+ℓ- decays"
"beamdump","NA64 Beam Dump Data","Real Data","null","null","null","<UNKNOWN>","N/A (Real Data)","null","null","Electron beam dump experiment, e-Z→e-ZA' process for invisible A', signal events selected with E_miss > 50 GeV and other cuts on electromagnetic and hadronic calorimeter energies"
"beamdump","BES-III Invisible Data","Real Data","null","null","null","<UNKNOWN>","N/A (Real Data)","null","null","e+e-→A'γ monophoton channel with invisible A', photon energy E_γ=(s-m_A'^2)/(2√s)"
"beamdump","NA62 Invisible Data","Real Data","null","null","null","<UNKNOWN>","N/A (Real Data)","null","null","Beam dump experiment focusing on invisible A' from π0→γA', A' mass reconstructed using K±→π±π0 process as m_res^2=(p_K±-p_π±-p_γ)^2"
"jet_classification","CMS Open Data QCD dijet production dataset","Simulated MC","null","null","933206","8","PYTHIA6","null","null","2012 CMS Open Data, generated invariant transverse momentum range 90-170 GeV, PYTHIA6 with Z2* tune, includes underlying event and run-dependent pileup averaging 18-21, uses Geant4 detector simulation. Events split into 793900 training+validation and 139306 test samples. Contains both quark and gluon samples from QCD dijet production."
"traverse_momentum","CMS11a (DoubleMu primary data set from CMS Run 2011A)","Real Data","/DoubleMu/Run2011A-12Oct2013-v1/AOD","6,241,576","2,155,900 (after tight muon cuts)","7","N/A (Real Data)","10.7483/OPENDATA.CMS.RZ34.QR6N","null","2.11 fb⁻¹ integrated luminosity, HLT_Mu13_Mu8 trigger, tight muon selection criteria, pμ_T > 15(10) GeV cuts, |η| < 2.1, Run 2011A period"
"traverse_momentum","ZMC (Z-pole Monte Carlo sample)","Simulated MC","null","null","null","7","MadGraph 5 v1.1.0 interfaced with Pythia 6.4.25","10.7483/OPENDATA.CMS.TXT4.4RRP","null","Tune Z2, TAUOLA 2.4, covers mass range mμμ > 50 GeV, GEANT4-based detector simulation"
"traverse_momentum","DYMC (Drell-Yan Monte Carlo sample)","Simulated MC","null","null","null","7","Pythia 6 with tune Z2","10.7483/OPENDATA.CMS.T8RZ.D52D","null","Covers mass range mμμ ∈ [10,50] GeV, lacks parton shower/matrix element matching, GEANT4-based detector simulation"
