"paper","full_paper_name","shortened_paper_name","year_published","journal","authors","dataset_name","dataset_type","official_path","events_total","events_used","collision_energy_tev","generator","doi","size_bytes","luminosity","notes"
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","CMS Open Data 2012 Dimuon Sample","Real Data","","","","8","N/A","","","20.6 fb-1","50% of data provided to public in CMS Open Data format according to CMS data policy. AOD format with dimuon events, includes event time-stamps and instant luminosity information."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","BaBar e+e- → γA' Data","Real Data","","","","0.01","N/A","","","514 fb-1","Data collected at vicinity of Υ(4S), Υ(3S) and Υ(2S) resonances. Searches for e+e- → γA' process with A' → e+e- and μ+μ- decay channels. Mass range 0.02-10.2 GeV. Ne=5704 and Nμ=5370 mass hypotheses searched."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","LHCb pp → A' Data","Real Data","","","","13","N/A","","","~5 fb-1","Search for pp → A' with dimuon spectrum. Mass range 0.214-69.8 GeV. Resolution [0.12, 380] MeV. Fit window mA' ± 12.5σre."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","A1 e-Z → e-ZA' Data","Real Data","","","","","N/A","","","","Electron beam experiment with Ee ∈ [0.180,0.855] GeV. Dielectron spectrum with 0.5 MeV resolution. Mass range [0.040, 0.300] GeV. Fit window mA' ± 3σre."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","NA48/2 π0 → γA' Data","Real Data","","","1.69×10^7","","N/A","","","","1.69×10^7 π0→γe+e- events. Dielectron spectrum with resolution [0.16, 1.33] MeV. Mass range [0.009, 0.120] GeV. Single bin analysis."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","E774 Beam Dump Data","Real Data","","","","","N/A","","","","Electron fixed-target beam dump experiment. Upper limit of 17 events for A' decay. Search for A' → ℓ+ℓ- based on signal event number."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","E141 Beam Dump Data","Real Data","","","","","N/A","","","","Electron fixed-target beam dump experiment searching for A' → ℓ+ℓ-."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","NA64 Beam Dump Data","Real Data","","","","","N/A","","","","Electron beam dump experiment studying e-Z → e-ZA' for invisible A'. Signal events selected with Emiss > 50 GeV. Also searches for A' → ℓ+ℓ-."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","BaBar Invisible Dark Photon Data","Real Data","","","","0.01","N/A","","","","Monophoton channel e+e- → A'γ with invisible A'. Photon energy Eγ = (s-m²A')/(2√s)."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","BES-III Invisible Dark Photon Data","Real Data","","","","","N/A","","","","Monophoton channel e+e- → A'γ with invisible A'."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2023","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","NA62 Invisible Dark Photon Data","Real Data","","","","","N/A","","","","Beam dump experiment focusing on invisible A' from π0 → γA'. A' mass reconstructed using K± → π±π0 process as m²res = (pK± - pπ± - pγ)²."
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2024","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","DoubleMuParked primary dataset Run 2012B","Real Data","/doublemuparked/run2012b-22jan2013-v1/aod","","","","N/A","","","","AOD format from 2012 run"
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2024","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","DoubleMuParked primary dataset Run 2012C","Real Data","/doublemuparked/run2012c-22jan2013-v1/aod","","","","N/A","","","","AOD format from 2012 run"
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2024","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","CMS 2011 primary dataset","Real Data","","","","","N/A","","","","Used for di-muon spectrum example code"
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2024","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","CMS 2012 primary dataset","Real Data","","","","","N/A","","","","Used for di-muon spectrum example code"
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2024","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","LHCb data for pp → A' → μ+μ- channel","Real Data","","","","","N/A","","","5 fb-1","Used for prompt decay A' → μ+μ- analysis"
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2024","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","LHCb long-lived A' → μ+μ- data","Real Data","","","","","N/A","","","","Used for long-lived decay analysis with 2D fit on mass and lifetime"
"beamdump","Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments","Time-Varying Signals of Ultralight Bosonic Dark Matter","2024","arXiv","Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie","A1 experiment e-e+ data","Real Data","","","","","N/A","","","","Fixed-target electron scattering e-Z → e-ZA' with prompt decay A' → e+e- for 0.040-0.300 GeV mass range in 2014"
"heavy_dimuon_resonance","Search for the production of dark matter candidates in association with heavy dimuon resonance using the CMS open data for pp collisions at √s = 8 TeV","Search for dark matter candidates in association with heavy dimuon resonance using CMS open data","2022","arXiv","S. Elgammal; M. Louka; A. Y. Ellithi; M. T. Hussein","CMS open experimental data samples (Run-B and Run-C)","Real Data","SingleMu/Run2012B-22Jan2013-v1/AOD; SingleMu/Run2012C-22Jan2013-v1/AOD","","","8","N/A","","","11.6 fb-1","Triggered by HLT_Mu40_eta2p1 single muon trigger"
"heavy_dimuon_resonance","Search for the production of dark matter candidates in association with heavy dimuon resonance using the CMS open data for pp collisions at √s = 8 TeV","Search for dark matter candidates in association with heavy dimuon resonance using CMS open data","2022","arXiv","S. Elgammal; M. Louka; A. Y. Ellithi; M. T. Hussein","DYToMuMu_M-20_CT10_TuneZ2star_v2_8TeV","Simulated MC","","","","8","POWHEGBox v1.0 interfaced to Pythia v.6.4.26","","","11.6 fb-1","Cross section 1916 pb at NNLO"
"heavy_dimuon_resonance","Search for the production of dark matter candidates in association with heavy dimuon resonance using the CMS open data for pp collisions at √s = 8 TeV","Search for dark matter candidates in association with heavy dimuon resonance using CMS open data","2022","arXiv","S. Elgammal; M. Louka; A. Y. Ellithi; M. T. Hussein","TTJets_FullLeptMGDecays_8TeV","Simulated MC","","","","8","MadGraph5 aMC@NLO v5.1.3.30 interfaced to Pythia v.6.4.26","","","11.6 fb-1","Cross section 23.89 pb at NLO"
"heavy_dimuon_resonance","Search for the production of dark matter candidates in association with heavy dimuon resonance using the CMS open data for pp collisions at √s = 8 TeV","Search for dark matter candidates in association with heavy dimuon resonance using CMS open data","2022","arXiv","S. Elgammal; M. Louka; A. Y. Ellithi; M. T. Hussein","WWJetsTo2L2Nu_TuneZ2star_8TeV","Simulated MC","","","","8","MadGraph5 aMC@NLO v5.1.3.30 interfaced to Pythia v.6.4.26","","","11.6 fb-1","Cross section 5.8 pb at NLO"
"heavy_dimuon_resonance","Search for the production of dark matter candidates in association with heavy dimuon resonance using the CMS open data for pp collisions at √s = 8 TeV","Search for dark matter candidates in association with heavy dimuon resonance using CMS open data","2022","arXiv","S. Elgammal; M. Louka; A. Y. Ellithi; M. T. Hussein","WZJetsTo3LNu_8TeV_TuneZ2Star","Simulated MC","","","","8","MadGraph5 aMC@NLO v5.1.3.30 interfaced to Pythia v.6.4.26","","","11.6 fb-1","Cross section 1.1 pb at NNLO"
"heavy_dimuon_resonance","Search for the production of dark matter candidates in association with heavy dimuon resonance using the CMS open data for pp collisions at √s = 8 TeV","Search for dark matter candidates in association with heavy dimuon resonance using CMS open data","2022","arXiv","S. Elgammal; M. Louka; A. Y. Ellithi; M. T. Hussein","ZZTo4mu_8TeV","Simulated MC","","","","8","POWHEGBox v1.0 interfaced to Pythia v.6.4.26","","","11.6 fb-1","Cross section 0.077 pb at NLO"
"heavy_dimuon_resonance","Search for the production of dark matter candidates in association with heavy dimuon resonance using the CMS open data for pp collisions at √s = 8 TeV","Search for dark matter candidates in association with heavy dimuon resonance using CMS open data","2022","arXiv","S. Elgammal; M. Louka; A. Y. Ellithi; M. T. Hussein","Mono-Z' Dark Higgs (DH) signal samples","Simulated MC","","","","8","MadGraph5 aMC@NLO v2.6.7 interfaced with PYTHIA v.6.4.26","","","11.6 fb-1","Z' masses from 150-700 GeV, DM masses 1-200 GeV, gSM=0.25, gDM=1.0, heavy dark sector scenario"
"heavy_dimuon_resonance","Search for the production of dark matter candidates in association with heavy dimuon resonance using the CMS open data for pp collisions at √s = 8 TeV","Search for dark matter candidates in association with heavy dimuon resonance using CMS open data","2022","arXiv","S. Elgammal; M. Louka; A. Y. Ellithi; M. T. Hussein","Mono-Z' Effective Field Theory (EFT) signal samples","Simulated MC","","","","8","MadGraph5 aMC@NLO v2.6.7 interfaced with PYTHIA v.6.4.26","","","11.6 fb-1","Z' mass = 450 GeV, cutoff scale Λ varied from 1.0-5.0 TeV"
"jet_classification","End-to-End Jet Classification of Quarks and Gluons with the CMS Open Data","End-to-End Jet Classification","2020","arXiv","M. Andrews; J. Alison; S. An; B. Burkle; S. Gleyzer; M. Narain; M. Paulini; B. Poczos; E. Usai","QCD dijet production dataset with pT = 90-170 GeV","Simulated MC","/GJet_Pt40_doubleEMEnriched_TuneZ2star_8TeV_ext-pythia6/AODSIM","793900","793900","8","PYTHIA6","10.7483/OPENDATA.CMS.2W51.W8AT","","","Simulated 2012 CMS Open Data with generated invariant transverse momentum pT = 90-170 GeV. Events generated and hadronized with PYTHIA6 package with Z2* tune. Includes multi-parton interactions from underlying event and run-dependent pileup ranging from peak average PU = 18-21. Dataset truncated to contain balanced proportion of samples per class per PU run era (Run2012AB, Run2012C, Run2012D). Uses Geant4 detector simulation with detailed CMS geometry models."
"traverse_momentum","Searching in CMS Open Data for Dimuon Resonances with Substantial Transverse Momentum","Searching in CMS Open Data for Dimuon Resonances","2019","arXiv","Cari Cesarotti; Yotam Soreq; Matthew J. Strassler; Jesse Thaler; Wei Xue","CMS DoubleMu 2011A","Real Data","/DoubleMu/Run2011A","6,241,576","2,961,681","7","N/A","","","2.11 fb-1","CMS Open Data, µ13µ8 trigger, baseline selection includes pT cuts of 15(10) GeV on leading(subleading) muon, |η| < 2.1"
"traverse_momentum","Searching in CMS Open Data for Dimuon Resonances with Substantial Transverse Momentum","Searching in CMS Open Data for Dimuon Resonances","2019","arXiv","Cari Cesarotti; Yotam Soreq; Matthew J. Strassler; Jesse Thaler; Wei Xue","ZMC MadGraph/Pythia","Simulated MC","","","","7","MadGraph 5 v1.1.0 interfaced with Pythia 6.4.25 with tune Z2 and TAUOLA 2.4","","","","Z-pole Monte Carlo sample for mass range > 50 GeV, GEANT4-based detector simulation"
"traverse_momentum","Searching in CMS Open Data for Dimuon Resonances with Substantial Transverse Momentum","Searching in CMS Open Data for Dimuon Resonances","2019","arXiv","Cari Cesarotti; Yotam Soreq; Matthew J. Strassler; Jesse Thaler; Wei Xue","DYMC Pythia","Simulated MC","","","","7","Pythia 6 with tune Z2","","","","Drell-Yan Monte Carlo sample for mass range 10-50 GeV, GEANT4-based detector simulation, lacks parton shower/matrix element matching"
"traverse_momentum","A p_T-enhanced search for BSM physics using the CMS open data","A p_T-enhanced search for BSM physics","2019","arXiv","Cari Cesarotti; <UNKNOWN>","CMS11a","Real Data","/DoubleMu/Run2011A-12Oct2013-v1/AOD","","","7","N/A","DOI:10.7483/OPENDATA.CMS.RZ34.QR6N","","2.11 fb-1","DoubleMu primary dataset in AOD format from RunA of 2011"
"traverse_momentum","A p_T-enhanced search for BSM physics using the CMS open data","A p_T-enhanced search for BSM physics","2019","arXiv","Cari Cesarotti; <UNKNOWN>","DYJetsToLL_TuneZ2_M-50_7TeV-madgraph-tauola","Simulated MC","","","","7","MadGraph","DOI:10.7483/OPENDATA.CMS.TXT4.4RRP","","","Simulated dataset in AODSIM format for 2011 collision data (SM Inclusive)"
"traverse_momentum","A p_T-enhanced search for BSM physics using the CMS open data","A p_T-enhanced search for BSM physics","2019","arXiv","Cari Cesarotti; <UNKNOWN>","DYJetsToLL_M-10To50_TuneZ2_7TeV-pythia6","Simulated MC","","","","7","PYTHIA 6","DOI:10.7483/OPENDATA.CMS.T8RZ.D52D","","","Simulated dataset in AODSIM format for 2011 collision data (SM Inclusive)"
"traverse_momentum","A p_T-enhanced search for BSM physics using the CMS open data","A p_T-enhanced search for BSM physics","2019","arXiv","Cari Cesarotti; <UNKNOWN>","DY1JetToLL_M-10To50_TuneZ2_7TeV-madgraph","Simulated MC","","","","7","MadGraph","DOI:10.7483/OPENDATA.CMS.U6JT.SMMC","","","Simulated dataset in AODSIM format for 2011 collision data (SM Exclusive)"
"traverse_momentum","A p_T-enhanced search for BSM physics using the CMS open data","A p_T-enhanced search for BSM physics","2019","arXiv","Cari Cesarotti; <UNKNOWN>","DY2Jets_M-10To50_TuneZ2_7TeV-madgraph","Simulated MC","","","","7","MadGraph","DOI:10.7483/OPENDATA.CMS.4G5S.44WQ","","","Simulated dataset in AODSIM format for 2011 collision data (SM Exclusive)"
"traverse_momentum","A p_T-enhanced search for BSM physics using the CMS open data","A p_T-enhanced search for BSM physics","2019","arXiv","Cari Cesarotti; <UNKNOWN>","DY3Jets_M-10To50_TuneZ2_7TeV-madgraph","Simulated MC","","","","7","MadGraph","DOI:10.7483/OPENDATA.CMS.D5KD.U5MR","","","Simulated dataset in AODSIM format for 2011 collision data (SM Exclusive)"
