Title,Authors,Dataset name (collision or MC),Size (events),Size (files),Size (bytes),Data format,Dataset DOI
Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments,Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie,"CMS Run 2012 DoubleMuParked dimuon sample (8 TeV, collision) - AOD; likely Runs 2012B/2012C/2012D",~1e8-1e9 (approximation),~1e3-1.5e4 (approximation),~1e13-1e14 (approximation),AOD,Lookup required (not specified in paper)
Unveiling Time-Varying Signals of Ultralight Bosonic Dark Matter at Collider and Beam Dump Experiments,Jinhui Guo; Yuxuan He; Jia Liu; Xiao-Ping Wang; Ke-Pan Xie,Published spectra from BaBar; LHCb; NA48/2; APEX; HADES; KLOE; PHENIX; WASA; E774; E141; NA64 (phenomenology recast; no CMS Open Data),N/A,N/A,N/A,N/A,N/A
Exploring Uncharted Soft Displaced Vertices in Open Data,Haipeng An; Zhen Hu; Zhen Liu; Daneng Yang,"CMS 2012 8 TeV MET primary datasets (Run2012A, Run2012B, Run2012C) with HLT_PFMET150 (collision)",approximate: B+C ~4.3e7 total; overall O(1e7-1e8),approximate: O(1e3-1e4),approximate: O(1-10 TB),AOD,requires lookup - per-dataset DOIs for /MET/Run2012A-22Jan2013-v1/AOD; /MET/Run2012B-22Jan2013-v1/AOD; /MET/Run2012C-22Jan2013-v1/AOD
Exploring Uncharted Soft Displaced Vertices in Open Data,Haipeng An; Zhen Hu; Zhen Liu; Daneng Yang,TTJets_HadronicMGDecays_8TeV-madgraph (MC - full detector simulation),approximate: unknown,unknown,unknown,AODSIM,requires lookup - CMS Open Data record
End-to-End Jet Classification of Quarks and Gluons with the CMS Open Data,M. Andrews; J. Alison; S. An; B. Burkle; S. Gleyzer; M. Narain; M. Paulini; B. Poczos; E. Usai,"CMS 2012 Open Data simulated QCD dijet (Pythia6 Z2*, pThat 80-120 and 120-170) (MC)","~933,206 used (subset)",not specified,not specified,GEN-SIM-RECO (RECO),not specified
Pre-training strategy using real particle collision data for event classification in collider physics,Tomoe Kishimoto; Masahiro Morinaga; Masahiko Saito; Junichi Tanaka,collision - /SingleElectron/Run2015D-08Jun2016-v1/AOD,"approx-90,000,000 (full dataset); subset used across study: ~1.2e6 unlabeled (pre-training) and ~1e4 labeled (classification)","approx-4,500",approx-5e12,AOD (source); MiniAOD used in analysis,http://opendata.cern.ch/record/24103
Pre-training strategy using real particle collision data for event classification in collider physics,Tomoe Kishimoto; Masahiro Morinaga; Masahiko Saito; Junichi Tanaka,collision - /SingleMuon/Run2015D-16Dec2015-v1/AOD,"approx-120,000,000 (full dataset); subset used across study: ~1.2e6 unlabeled (pre-training) and ~1e4 labeled (classification)","approx-6,000",approx-7e12,AOD (source); MiniAOD used in analysis,http://opendata.cern.ch/record/24102
Searching in CMS Open Data for Dimuon Resonances with Substantial Transverse Momentum,Cari Cesarotti; Yotam Soreq; Matthew J. Strassler; Jesse Thaler; Wei Xue,/DoubleMu/Run2011A-12Oct2013-v1/AOD (collision),"approx 2.0e7 total; 6,241,576 analyzed; 2,155,900 after baseline",approx 2000,approx 6.0e12,AOD,unknown - please verify on CERN Open Data
Searching in CMS Open Data for Dimuon Resonances with Substantial Transverse Momentum,Cari Cesarotti; Yotam Soreq; Matthew J. Strassler; Jesse Thaler; Wei Xue,DYJetsToLL_M-50_TuneZ2_7TeV-madgraph-tauola (MC),unknown,unknown,unknown,AODSIM,unknown
Searching in CMS Open Data for Dimuon Resonances with Substantial Transverse Momentum,Cari Cesarotti; Yotam Soreq; Matthew J. Strassler; Jesse Thaler; Wei Xue,DYToMuMu_M-10To50_TuneZ2_7TeV-pythia6 (MC),unknown,unknown,unknown,AODSIM,unknown
